UNITID,OPEID,OPEID6,college_name,city,state,ZIP,type,ST_FIPS,region,LATITUDE,LONGITUDE,admission_rate,SAT_AVG,undergrad_enrollment,percentage_white,percentage_black,percentage_hispanic,percentage_asian,percentage_american_indian,percentage_hawaiian_pacific_islander,percentage_non_resident_alien,avg_income_from_mid_income_bracket,avg_income_from_high_income_bracket,earning_above_threshold,avg_net_price,median_earnings,avg_income_from_low_income_bracket,first_bracket_net_price,second_bracket_net_price(public,third_bracket_net_price,fourth_bracket_net_price,fifth_bracket_net_price,attendance_cost,instate_tuition,outofstate_tuition,pell_recipients,fed_loan_recipients,compeletion_rate,completion_rate_white,completion_rate_black,completion_rate_hispanic,completion_rate_asian,completion_rate_american_indian,debt_graduated,debt_withdrew,debt_low_income,debt_mid_income,debt_high_income,debt_pell,debt_nopell,population_debt_low_income,population_debt_middle_income,population_debt_high_income,population_debt_pell,population_repayment_cohort,population_recieving_loan,population_recieving_pell,RET_FT4,RET_FTL4
404383,2599701,25997,Vatterott College-Kansas City,Kansas City,MO,64117,3,29,4,39.16578,-94.495921,NULL,NULL,638,0.6223,0.2931,0.0564,0.0031,0.0047,0.0063,0,38100,42500,0.561,18992,28300,27500,18403,NULL,NULL,NULL,NULL,23671,12406,12406,0.3407,0.2463,0.4223875,NULL,NULL,NULL,NULL,NULL,22001,7571,13000,16471,13000,13511,12303,6625,734,189,7164,8374,0.849956955,0.935801255,NULL,0.4752
409120,2124500,21245,Franklin Technology-MSSU,Joplin,MO,64801-1595,1,29,4,37.097008,-94.459584,NULL,NULL,178,0.7921,0.0337,0.0337,0.0112,0.0506,0.0112,0,PrivacySuppressed,PrivacySuppressed,0.561,23235,24300,25800,20398,NULL,NULL,28910,NULL,NULL,NULL,NULL,0.6429,0.6582,0.750010256,NULL,NULL,NULL,NULL,NULL,7600,4750,7550,PrivacySuppressed,PrivacySuppressed,7600,9500,158,52,13,197,293,0.885714286,0.906122449,NULL,0.7297
417628,528800,5288,Kirksville Area Technical Center,Kirksville,MO,63501,1,29,4,40.185652,-92.56595,0.3182,NULL,34,1,0,0,0,0,0,0,PrivacySuppressed,PrivacySuppressed,0.47,9935,24500,PrivacySuppressed,10045,NULL,9272,NULL,NULL,NULL,NULL,NULL,0.8136,0.1525,0.8372,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,36,PrivacySuppressed,PrivacySuppressed,NULL,0.75
417637,542400,5424,South Central Career Center,West Plains,MO,65775,1,29,4,36.737658,-91.854915,NULL,NULL,58,0.9655,0,0.0172,0,0,0,0,PrivacySuppressed,PrivacySuppressed,0.491,9858,26800,27700,8167,8290,13360,11101,NULL,NULL,NULL,NULL,0.8909,0.9182,0.7833075,NULL,NULL,NULL,NULL,NULL,5974,PrivacySuppressed,5974,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,57,PrivacySuppressed,PrivacySuppressed,78,127,0.725,0.916666667,NULL,0.9167
417646,543800,5438,Saline County Career Center,Marshall,MO,65340-1698,1,29,4,39.115031,-93.21108,0.4348,NULL,23,0.913,0.0435,0.0435,0,0,0,0,PrivacySuppressed,PrivacySuppressed,0.55,11089,PrivacySuppressed,PrivacySuppressed,11992,9735,NULL,NULL,NULL,NULL,NULL,NULL,0.6087,0.6087,0.842105263,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,22,30,PrivacySuppressed,PrivacySuppressed,NULL,0.7
417655,1102600,11026,Warrensburg Area Career Center,Warrensburg,MO,64093,1,29,4,38.760988,-93.709802,NULL,NULL,39,1,0,0,0,0,0,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,8708,PrivacySuppressed,PrivacySuppressed,8870,7580,7070,NULL,NULL,NULL,NULL,NULL,0.7674,0.5581,0.818172727,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,9520,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,30,PrivacySuppressed,PrivacySuppressed,44,48,0.771428571,0.828571429,NULL,0.7368
417673,2203400,22034,Nevada Regional Technical Center,Nevada,MO,64772,1,29,4,37.861014,-94.363083,0.7,NULL,16,0.9375,0,0,0,0,0.0625,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3950,PrivacySuppressed,PrivacySuppressed,3300,3750,4883,NULL,NULL,NULL,NULL,NULL,0.8421,0.7895,0.916647222,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,17,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,34,PrivacySuppressed,PrivacySuppressed,NULL,1
417682,2313000,23130,Cass Career Center,Harrisonville,MO,64701-2024,1,29,4,38.658014,-94.335682,0.4444,NULL,22,0.8182,0.0455,0,0.0455,0.0455,0,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,22617,PrivacySuppressed,PrivacySuppressed,22374,NULL,23345,NULL,NULL,NULL,NULL,NULL,0.5938,0.875,0.782604348,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,9500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,29,PrivacySuppressed,PrivacySuppressed,33,42,PrivacySuppressed,0.651162791,NULL,0
417716,3068600,30686,Applied Technology Services,Sunset Hills,MO,63127,1,29,4,38.778863,-90.293882,0.7143,NULL,166,0.1867,0.7651,0,0.006,0,0,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,20565,38200,PrivacySuppressed,20032,21095,22696,NULL,NULL,NULL,NULL,NULL,0.8898,0.9576,0.847445763,NULL,NULL,NULL,NULL,NULL,14737,4750,14724,PrivacySuppressed,PrivacySuppressed,14724,14750,185,PrivacySuppressed,PrivacySuppressed,206,169,PrivacySuppressed,0.898678414,NULL,0.9091
417725,3070200,30702,Central College of Cosmetology,Saint Robert,MO,65584,3,29,4,37.814903,-92.14396,NULL,NULL,93,0.8817,0.0968,0.0108,0,0,0,0,PrivacySuppressed,PrivacySuppressed,0.719,4543,PrivacySuppressed,PrivacySuppressed,4543,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6316,0,0.515441237,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,PrivacySuppressed,NULL,0.5
