UNITID,OPEID,OPEID6,college_name,city,state,ZIP,type,ST_FIPS,region,LATITUDE,LONGITUDE,admission_rate,SAT_AVG,undergrad_enrollment,percentage_white,percentage_black,percentage_hispanic,percentage_asian,percentage_american_indian,percentage_hawaiian_pacific_islander,percentage_non_resident_alien,avg_income_from_mid_income_bracket,avg_income_from_high_income_bracket,earning_above_threshold,avg_net_price,median_earnings,avg_income_from_low_income_bracket,first_bracket_net_price,second_bracket_net_price(public,third_bracket_net_price,fourth_bracket_net_price,fifth_bracket_net_price,attendance_cost,instate_tuition,outofstate_tuition,pell_recipients,fed_loan_recipients,compeletion_rate,completion_rate_white,completion_rate_black,completion_rate_hispanic,completion_rate_asian,completion_rate_american_indian,debt_graduated,debt_withdrew,debt_low_income,debt_mid_income,debt_high_income,debt_pell,debt_nopell,population_debt_low_income,population_debt_middle_income,population_debt_high_income,population_debt_pell,population_repayment_cohort,population_recieving_loan,population_recieving_pell,RET_FT4,RET_FTL4
447999,3970400,39704,WellSpring School of Allied Health-Kansas City,Kansas City,MO,64114-3313,3,29,4,38.963226,-94.604997,NULL,NULL,133,0.7669,0.188,0.015,0.0226,0,0,0,PrivacySuppressed,PrivacySuppressed,0.569,25802,PrivacySuppressed,PrivacySuppressed,24694,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6947,0.7965,0.8182,NULL,NULL,NULL,NULL,NULL,7783,2750,7125,7125,4125,7125,6440.5,149,68,35,178,232,0.876971609,0.700315457,NULL,0.8276
448008,3924300,39243,Hair Academy 110,Kirksville,MO,63501,3,29,4,40.195107,-92.582872,NULL,NULL,21,0.8571,0.0476,0.0952,0,0,0,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,8944,PrivacySuppressed,PrivacySuppressed,9281,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6897,0.6897,0.722255556,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,30,PrivacySuppressed,PrivacySuppressed,NULL,0.8333
448585,405719,4057,National American University-Zona Rosa,Kansas City,MO,64153-1934,3,29,4,38.967346,-94.500869,NULL,NULL,382,0.6728,0.2042,0.0497,0.0026,0.0079,0.0026,0,43300,56400,PrivacySuppressed,17044,36100,30300,17044,NULL,NULL,NULL,NULL,19134,13071,13071,0.7883,0.9245,0.196084314,0,NULL,NULL,NULL,NULL,33523,9500,10626.5,16176.5,17500,12668,9500,9298,2302,626,10285,9295,0.849681267,0.760127493,0.3333,NULL
449162,1049008,10490,Regency Beauty Institute-Independence,Kansas City,MO,64136,3,29,4,39.033691,-94.412518,NULL,NULL,73,0.2877,0.2603,0.0137,0.0274,0,0,0,24600,27200,0.68,20663,21500,22100,20663,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8407,0.8407,0.407198802,NULL,NULL,NULL,NULL,NULL,14144,4750,9500,10137,8375,9500,8688,8138,1607,857,9411,11641,0.866144853,0.887545824,NULL,0.4063
449171,1049009,10490,Regency Beauty Institute-St Peters,St. Peters,MO,63376,3,29,4,38.799569,-90.654425,NULL,NULL,109,0.4312,0.1835,0.0275,0,0,0,0,24600,27200,0.395,20188,21500,22100,20188,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7469,0.7963,0.591278102,NULL,NULL,NULL,NULL,NULL,14144,4750,9500,10137,8375,9500,8688,8138,1607,857,9411,11641,0.866144853,0.887545824,NULL,0.7692
449205,1049012,10490,Regency Beauty Institute-Mehlville,Mehlville,MO,63129,3,29,4,38.499384,-90.333587,NULL,NULL,50,0.42,0.12,0,0,0.02,0,0,24600,27200,0.395,20004,21500,22100,20004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8077,0.7821,0.47789292,NULL,NULL,NULL,NULL,NULL,14144,4750,9500,10137,8375,9500,8688,8138,1607,857,9411,11641,0.866144853,0.887545824,NULL,0.4737
451316,4133300,41333,Trend Setters School of Cosmetology,Cape Girardeau,MO,63703-0000,3,29,4,37.284689,-89.556509,NULL,NULL,61,0.8689,0.0984,0,0,0,0,0,NULL,NULL,0.395,11880,NULL,NULL,11880,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9412,0.8529,0.850905263,NULL,NULL,NULL,NULL,NULL,14897,PrivacySuppressed,9833,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,26,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,57,PrivacySuppressed,0.875,NULL,0.5333
451334,4037500,40375,Academy of Hair Design-Springfield,Springfield,MO,65804,3,29,4,37.179756,-93.263613,NULL,NULL,101,0.8614,0.0297,0.0396,0,0,0,0,NULL,NULL,NULL,10060,NULL,NULL,9000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6149,0.5093,0.728952336,NULL,NULL,NULL,NULL,NULL,7917,4750,7917,PrivacySuppressed,PrivacySuppressed,7917,6277.5,127,33,18,150,169,0.872641509,0.849056604,NULL,0.9524
453109,1040501,10405,Pinnacle Career Institute-North Kansas City,Kansas City,MO,64153,3,29,4,39.301199,-94.684474,NULL,NULL,140,0.75,0.0929,0.0929,0.0143,0.0071,0,0,PrivacySuppressed,PrivacySuppressed,NULL,21127,30900,30700,20769,NULL,NULL,NULL,NULL,24900,14048,14048,0.7764,0.882,0.784395167,NULL,NULL,NULL,NULL,NULL,12204.5,4398,8889,11256,10788,9326.5,11818,1213,230,71,1350,2584,0.857323232,0.899621212,NULL,0.6952
455071,4130600,41306,Healing Arts Center,St. Louis,MO,63122,3,29,4,38.602577,-90.388253,NULL,NULL,96,0.8646,0.1146,0,0.0104,0,0,0,NULL,NULL,0.611,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3608,0.443,NULL,NULL,NULL,NULL,NULL,NULL,6365,3183,6365,PrivacySuppressed,PrivacySuppressed,6365,6365,82,23,17,86,131,PrivacySuppressed,0.610169492,NULL,NULL
455080,4145700,41457,Paul Mitchell the School-Springfield,Springfield,MO,65807,3,29,4,37.159135,-93.31815,NULL,NULL,93,0.9462,0.0215,0.0108,0,0,0,0,NULL,NULL,NULL,18634,NULL,NULL,18634,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5596,0.7202,0.578611321,NULL,NULL,NULL,NULL,NULL,12500,4750,9833,9833,9833,9833,9833,125,30,26,149,229,0.920245399,0.81595092,NULL,0.4545
455099,4146100,41461,Urshan Graduate School of Theology,Florissant,MO,63031,2,29,4,38.801695,-90.364462,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL
455673,2180204,21802,Metro Business College-Arnold,Arnold,MO,63010,3,29,4,38.44784,-90.366871,NULL,NULL,18,0.8889,0.0556,0.0556,0,0,0,0,PrivacySuppressed,PrivacySuppressed,NULL,9873,20100,19200,NULL,NULL,NULL,NULL,NULL,15168,10325,10325,0.9,0.98,0.750009722,NULL,NULL,NULL,NULL,NULL,12873.5,5816,9500,8360,5500,9500,6967,515,95,24,579,885,0.911591356,0.888015717,NULL,0.5
456302,2569307,25693,Le Cordon Bleu College of Culinary Arts-St Louis,St Peters,MO,63376,3,29,4,38.801588,-90.660121,NULL,NULL,243,0.6214,0.251,0.0165,0.0123,0.0165,0,0,36300,37700,0.319,20674,29600,33400,20403,NULL,NULL,NULL,NULL,24923,13351,13351,0.5993,0.8113,0.644204808,NULL,NULL,NULL,NULL,NULL,11250,5319,10773,11250,10346,10773,11249,1851,635,357,2121,8540,0.868832732,0.75511432,NULL,0.6986
456409,10732929,7329,ITT Technical Institute-Springfield,Springfield,MO,65807,3,29,4,37.154882,-93.275957,0.9024,NULL,166,0.8072,0.1024,0.0181,0.012,0.0241,0,0,46300,47200,0.603,23043,38800,38200,22534,NULL,NULL,NULL,NULL,27490,18048,18048,0.9078,0.7816,NULL,NULL,NULL,NULL,NULL,NULL,25827.5,9500,12667,17014,17000,13947,12667,46852,14813,4851,56021,52325,0.800189188,0.814378315,NULL,NULL
457688,4118700,41187,American Business and Technology University,St Joseph,MO,64506,3,29,4,39.77911,-94.820001,NULL,NULL,573,0.3333,0.2967,0.0105,0.0052,0.007,0,0,NULL,NULL,0.721,21509,NULL,NULL,21215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0684,0.0588,0.322204444,0.75,NULL,1,NULL,NULL,19000,8250,9500,PrivacySuppressed,PrivacySuppressed,9500,9500,233,60,14,244,51,0.406779661,0.894915254,NULL,NULL
457697,4119100,41191,City Vision University,Kansas City,MO,64109-1845,2,29,4,39.07043,-94.571091,NULL,NULL,55,0.5455,0.3091,0.0364,0.0182,0.0182,0,0,NULL,NULL,NULL,8919,NULL,NULL,8919,NULL,NULL,NULL,NULL,14000,6000,6000,0.3718,0.2821,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,3511,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,34,PrivacySuppressed,PrivacySuppressed,37,NULL,0.576923077,0.858974359,NULL,NULL
457703,4145200,41452,Transformed Barber and Cosmetology Academy,Kansas City,MO,64110,3,29,4,39.013169,-94.573032,NULL,NULL,81,0.0247,0.963,0.0123,0,0,0,0,NULL,NULL,NULL,13871,NULL,NULL,13871,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.731,0.5241,0.434744928,NULL,NULL,NULL,NULL,NULL,9500,4750,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,110,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,102,0.830882353,PrivacySuppressed,NULL,0.6667
458326,1049058,10490,Regency Beauty Institute-Springfield,Springfield,MO,65804,3,29,4,37.1604,-93.270911,NULL,NULL,58,0.4828,0.0345,0.0345,0,0.0172,0,0,24600,27200,NULL,20946,21500,22100,20946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.798,0.8788,0.392528037,NULL,NULL,NULL,NULL,NULL,14144,4750,9500,10137,8375,9500,8688,8138,1607,857,9411,11641,0.866144853,0.887545824,NULL,0.3684
459435,4130300,41303,Victory Trade School,Springfield,MO,65803,2,29,4,37.22925,-93.292261,NULL,NULL,20,0.7,0.15,0.05,0,0,0.05,0,NULL,NULL,0.395,4771,NULL,NULL,4771,NULL,NULL,NULL,NULL,15100,6000,6000,0.5185,0,0.5,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,PrivacySuppressed,NULL,0.6667
460048,4051329,40513,Brown Mackie College-St Louis,Fenton,MO,63026,3,29,4,38.54435,-90.43652,NULL,NULL,504,0.5377,0.4048,0.0139,0.0079,0.004,0.004,0,PrivacySuppressed,PrivacySuppressed,NULL,17717,27400,27700,17454,NULL,NULL,NULL,NULL,22343,11187,11187,0.7634,0.7744,NULL,NULL,NULL,NULL,NULL,NULL,22141.5,6625.5,11093.5,14326,13000,12267,11165,21646,4860,1806,24979,21832,0.892460773,0.876195943,NULL,NULL
460932,4174000,41740,Skin Institute,Saint Louis,MO,63126,3,29,4,38.527964,-90.363057,NULL,NULL,47,0.8723,0.1064,0,0.0213,0,0,0,NULL,NULL,0.546,16890,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4314,0.6667,0.9815,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,9160,PrivacySuppressed,PrivacySuppressed,8555,9500,54,16,16,52,46,0.854166667,0.677083333,NULL,1
460996,4170600,41706,The Salon Professional Academy-St Charles,St. Charles,MO,63301-1021,3,29,4,38.788205,-90.539643,NULL,NULL,69,0.8261,0.1594,0,0,0,0,0,NULL,NULL,NULL,12344,NULL,NULL,11793,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.472,0.528,0.797464557,NULL,NULL,NULL,NULL,NULL,9649,4088,7804,9500,7917,7917,7860.5,73,29,19,89,45,PrivacySuppressed,0.669172932,NULL,0.8286
461421,4170700,41707,Paul Mitchell the School-St Louis,St. Louis,MO,63108-1554,3,29,4,38.64474,-90.262731,NULL,NULL,169,0.6095,0.3077,0.0178,0.0178,0,0,0,NULL,NULL,NULL,15287,NULL,NULL,13459,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4462,0.5981,0.871528492,NULL,NULL,NULL,NULL,NULL,16500,4822,16500,13000,9833,16500,9833,150,61,44,183,96,0.932,0.736,NULL,0.875
461537,4173900,41739,Cosmetology College of Franklin County,Saint Clair,MO,63077-1515,3,29,4,38.344003,-90.980902,NULL,NULL,16,1,0,0,0,0,0,0,NULL,NULL,NULL,6299,NULL,NULL,6299,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6207,0.7241,0.874975,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,16,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,1
461573,4174800,41748,American Trade School,Saint Ann,MO,63074-1807,3,29,4,38.72866,-90.379961,NULL,NULL,113,0.469,0.5133,0,0.0177,0,0,0,NULL,NULL,NULL,13276,NULL,NULL,12630,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7619,0.6905,0.792161176,NULL,NULL,NULL,NULL,NULL,12563,5702.5,10132,PrivacySuppressed,PrivacySuppressed,10451,15915,115,PrivacySuppressed,PrivacySuppressed,123,40,0.8875,0.90625,NULL,0.7544
461935,4184400,41844,Seymour Beauty Academy,Seymour,MO,65746-8743,3,29,4,37.14678,-92.769771,NULL,NULL,22,1,0,0,0,0,0,0,NULL,NULL,NULL,8796,NULL,NULL,8815,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9167,0.9167,0.627470588,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,0.5
466170,405724,4057,National American University-Lee's Summit,Lee's Summit,MO,64081-1425,3,29,4,38.919799,-94.402699,NULL,NULL,309,0.5405,0.3786,0.0162,0,0.0065,0,0,43300,56400,NULL,NULL,36100,30300,NULL,NULL,NULL,NULL,NULL,NULL,13071,13071,0.7667,0.8778,NULL,NULL,NULL,NULL,NULL,NULL,33523,9500,10626.5,16176.5,17500,12668,9500,9298,2302,626,10285,9295,0.849681267,0.760127493,NULL,NULL
466921,638507,6385,Chamberlain College of Nursing-Missouri,St. Louis,MO,63146,3,29,4,38.70204,-90.436061,0.5714,NULL,508,0.7736,0.1417,0.0197,0.0177,0,0.002,0.002,60300,65500,0.68,24920,52600,44200,NULL,NULL,NULL,NULL,NULL,24920,17280,17280,0.5574,0.8463,0.448251724,0.4,0,NULL,NULL,NULL,24581,14769,18750,18750,18750,20375,17786,4641,5069,5632,6583,7009,0.956099815,0.378069712,0.5,NULL
475389,4187000,41870,Donna's Academy of Hair Design,Smithville,MO,64089-9042,3,29,4,39.355841,-94.584891,NULL,NULL,31,0.871,0,0,0,0,0,0,NULL,NULL,0.833,10355,NULL,NULL,8789,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4603,0.6032,0.819992,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9833,9833,18,11,16,25,PrivacySuppressed,0.814814815,0.722222222,NULL,0.8667
475583,3066303,30663,Bryan University,Columbia,MO,65201-8248,3,29,4,38.91581,-92.292621,NULL,NULL,97,0.567,0.3299,0.0206,0,0.0103,0,0,PrivacySuppressed,PrivacySuppressed,NULL,16481,24900,PrivacySuppressed,16462,NULL,NULL,NULL,NULL,21735,15345,15345,0.8053,0.885,0.221571257,NULL,NULL,NULL,NULL,NULL,24056,9490,16468,PrivacySuppressed,PrivacySuppressed,16997.5,15111,544,104,15,618,802,0.785714286,0.946428571,NULL,0.2353
480338,149912,1499,Everest College-Kansas City,Kansas City,MO,64114,3,29,4,38.96357,-94.607161,NULL,NULL,320,0.2594,0.5594,0.0531,0.0125,0.0063,0.0063,0,,,0.5,24325,,,24188,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7493,0.5742,NULL,NULL,NULL,NULL,NULL,NULL,19613,6466,7808,10857.5,9500,8500,6475,38707,3622,496,39807,24155,0.771913095,0.91652277,NULL,0.4918
480879,4212100,42121,Academy of Salon Professionals,Sedalia,MO,65301,3,29,4,38.690856,-93.250986,NULL,NULL,25,0.88,0.04,0.04,0,0,0,0,,,,6578,,,6578,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4595,0.3514,0.81249375,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,17,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,PrivacySuppressed,NULL,0.5
481049,4152200,41522,Carthage R9 School District-Carthage Technical Center,Carthage,MO,64836-1332,1,29,4,37.173927,-94.30051,1,NULL,11,0.8182,0,0,0,0.0909,0,0,,,,12876,,,12313,10475,13454,14631,NULL,NULL,NULL,NULL,0.8,0.84,0.909063636,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,PrivacySuppressed,NULL,1
481517,4218400,42184,City Pointe Beauty Academy,Webb City,MO,64870-2502,3,29,4,37.14015,-94.474671,NULL,NULL,63,0.9048,0,0,0.0159,0.0317,0,0,,,,10743,,,9593,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4512,0.5244,0.7931,NULL,NULL,NULL,NULL,NULL,9833,PrivacySuppressed,9833,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,41,14,10,51,NULL,PrivacySuppressed,0.7625,NULL,0.6875
481766,2119204,21192,Court Reporting Institute of St Louis,Clayton,MO,63105-3329,3,29,4,38.64829,-90.335741,NULL,NULL,247,0.5223,0.2713,0.081,0.004,0,0,0,,,,20810,,,20810,NULL,NULL,NULL,NULL,24556,10375,10375,0.452,0.5989,NULL,NULL,NULL,NULL,NULL,NULL,26026.5,15116,13534,18075,20644,16229,13247.5,223,83,39,253,859,0.882978723,0.687943262,NULL,0.2821
481915,2609206,26092,L'Ecole Culinaire-Kansas City,Kansas City,MO,64112-2110,3,29,4,39.040598,-94.591194,NULL,NULL,193,0.2435,0.4974,0.0155,0.0052,0.0052,0.0052,0,,,,20545,,,20468,NULL,NULL,NULL,NULL,25590,14950,14950,0.5342,0.5616,NULL,NULL,NULL,NULL,NULL,NULL,20894.5,6334,13000,13875,12750,13000,12750,1784,249,73,1945,3046,0.817572892,0.924743893,NULL,0.4182
481988,2599714,25997,Vatterott College-ex'treme Institute by Nelly-St Louis,St. Louis,MO,63102-2115,3,29,4,38.63107,-90.185411,NULL,NULL,444,0.1689,0.7387,0.009,0.0045,0.009,0,0,,,,16644,,,16073,NULL,NULL,NULL,NULL,21294,12850,12850,0.4577,0.3134,NULL,NULL,NULL,NULL,NULL,NULL,22001,7571,13000,16471,13000,13511,12303,6625,734,189,7164,8374,0.849956955,0.935801255,NULL,0.4031
482097,3368305,33683,Midwest Technical Institute-Springfield,Springfield,MO,65804-4414,3,29,4,37.14777,-93.256511,NULL,NULL,257,0.8794,0.0428,0.0272,0,0.0117,0.0156,0,,,,17958,,,17594,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8555,0.8871,NULL,NULL,NULL,NULL,NULL,NULL,9500,4750,9500,9500,5500,9500,9500,3785,780,331,4086,2715,0.851886971,0.83804286,NULL,0.7282
482352,405735,4057,National American University-Weldon Spring,Weldon Spring,MO,63304-7795,3,29,4,38.728941,-90.64441,NULL,NULL,75,0.52,0.3733,0,0,0.0133,0,0,,,,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,13071,13071,0.8667,0.8889,NULL,NULL,NULL,NULL,NULL,NULL,33523,9500,10626.5,16176.5,17500,12668,9500,9298,2302,626,10285,9295,0.849681267,0.760127493,NULL,NULL
482398,4051343,40513,The Art Institute of St Louis,St Charles,MO,63303,3,29,4,38.766465,-90.495665,NULL,NULL,455,0.4769,0.4308,0.0396,0.0044,0.011,0.0066,0,,,,19307,,,17614,NULL,NULL,NULL,NULL,25690,13780,13780,0.7446,0.894,NULL,NULL,NULL,NULL,NULL,NULL,22141.5,6625.5,11093.5,14326,13000,12267,11165,21646,4860,1806,24979,21832,0.892460773,0.876195943,0.3704,NULL
482538,1072717,10727,DeVry University-Missouri,Kansas City,MO,64131,3,29,4,38.92248,-94.583901,0.76,NULL,613,0.6052,0.2806,0.0424,0.0277,0.0114,0.0033,0,52500,61100,,24550,47000,44100,23731,NULL,NULL,NULL,NULL,30270,16888,16888,0.5862,0.814,0.297491139,0.3333,0.2,0,0.5,NULL,40150,12955,14741,22250,21803,20000,12000,33726,15735,6453,41594,77361,0.835462152,0.696395861,0.7,NULL
484701,32098887,20988,University of Phoenix-Missouri,Saint Louis,MO,63043,3,29,4,38.757035,-90.466727,NULL,NULL,952,0.2721,0.3487,0.0315,0.0011,0.0063,0.0042,0.0032,,,,19241,,,19204,NULL,NULL,NULL,NULL,24494,11195,11195,0.7116,0.6998,0.0892,0.125,0.1441,0,NULL,0,33000,7881.5,10875,20000,20000,14250,15500,155217,58431,20611,198764,340405,0.833483809,0.860612093,0.386,NULL
15336601,186601,1866,Graceland University - Independence,Independence,MO,640503434,2,29,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39500,41700,0.745,NULL,36300,38000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24900,10250,15151.5,17750,15500,17000,15000,410,367,321,696,852,0.960457856,0.591050989,NULL,NULL
